MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
49.432693,-59.394836,-201.014023,-0.150759,-0.183267,0.246176,-0.048157,-0.015808,-1.139511,0.303749,1455415734.168986
47.351318,-60.446075,-201.014023,0.244411,-0.017109,0.120763,-0.117096,-0.046951,-1.114929,0.301528,1455415734.269124
49.432693,-60.095673,-198.643173,-0.209083,0.324571,0.252810,-0.011444,-0.101044,-1.268112,0.302047,1455415734.368978
47.004425,-65.351852,-197.627090,1.732468,-1.066875,0.072776,0.040588,0.154877,-0.948959,0.303688,1455415734.468992
45.096497,-67.279114,-196.441666,-0.132228,0.081345,0.210728,0.026016,0.108398,-0.697372,0.306296,1455415734.568984
45.790283,-65.877472,-196.441666,-0.623631,0.125200,0.146919,0.010880,0.004913,-0.792084,0.308426,1455415734.668989
44.402710,-65.176636,-194.748199,-0.429918,0.171332,0.021703,-0.083694,-0.099838,-0.972092,0.307353,1455415734.768999
46.657532,-63.950195,-195.933624,-0.356396,0.266102,-0.190762,-0.047165,0.123184,-1.491730,0.304791,1455415734.868988
47.698212,-62.548553,-195.594940,-0.136075,0.114853,-0.180666,0.136383,0.486542,-1.397644,0.304760,1455415734.968970
45.269943,-65.702255,-194.240173,0.909884,-0.190045,-0.336656,-0.202118,0.077286,-0.605240,0.306349,1455415735.068991
45.963730,-66.403076,-192.208008,-0.677445,0.406408,-0.477638,0.113785,0.140121,-0.812073,0.308940,1455415735.169133
47.351318,-64.300613,-192.885391,-0.504716,0.013485,-0.016262,-0.051392,-0.098618,-0.846512,0.310042,1455415735.268960
48.738907,-62.548553,-191.530624,-0.241652,0.307401,0.200204,0.000763,-0.061234,-1.023178,0.309054,1455415735.369012
52.034424,-62.373352,-191.699966,-0.226138,0.151873,0.410120,0.098877,0.079025,-1.592865,0.308019,1455415735.468983
48.912354,-62.723755,-191.022583,1.786619,-1.323047,0.309127,-0.007309,0.317963,-1.313309,0.308302,1455415735.568985
47.698212,-66.403076,-188.821091,0.226025,-0.277298,0.021111,-0.048355,0.036118,-0.656281,0.311154,1455415735.668976
47.177872,-64.826233,-187.635666,-0.231558,0.057391,-0.110801,0.019989,0.149719,-0.707947,0.313752,1455415735.768979
49.085800,-63.599792,-188.821091,-0.285112,0.245302,-0.087938,-0.017654,-0.064423,-0.931732,0.312757,1455415735.868983
50.820282,-62.198135,-189.159775,-0.544612,0.421043,-0.102587,-0.064575,0.043579,-1.265091,0.311350,1455415735.968981
53.248550,-60.095673,-187.805008,-0.253092,0.348264,-0.532775,-0.064529,0.311722,-1.423904,0.310310,1455415736.068996
50.993729,-60.621292,-188.651733,0.318146,-0.033256,-1.020169,-0.289490,0.173721,-0.560822,0.311045,1455415736.169191
51.340622,-61.672516,-188.313049,-0.224622,-0.048769,-0.955107,0.009872,-0.004868,-0.552063,0.314913,1455415736.269048
53.768906,-57.817993,-189.667816,-0.459506,0.174830,-0.601048,0.078949,-0.128845,-0.763306,0.315242,1455415736.369046
54.636139,-54.138657,-188.821091,-0.220383,0.365790,0.229521,0.121109,-0.018311,-1.103683,0.313268,1455415736.469047
54.809586,-53.963455,-187.974350,-0.380959,0.632541,0.254838,0.106567,0.032547,-1.501495,0.311586,1455415736.569073
55.503387,-54.664276,-189.329132,1.763650,-1.333621,0.135373,0.087799,0.298904,-1.416534,0.311832,1455415736.669035
52.034424,-58.518814,-190.345200,-0.226106,0.230020,0.205237,-0.017578,0.025574,-0.759399,0.312900,1455415736.769049
54.115799,-58.869232,-190.006516,0.252246,0.005961,0.088005,0.033005,0.059097,-0.668686,0.318700,1455415736.869033
52.901657,-58.343613,-188.143707,-0.286104,0.064734,0.172714,-0.012482,-0.102402,-0.682953,0.320259,1455415736.969054
54.462692,-57.467575,-188.990433,-0.653095,0.298954,-0.038575,-0.018845,-0.017609,-1.059692,0.321105,1455415737.069086
56.890961,-53.613052,-185.942200,-0.783845,0.503091,-0.173958,0.020203,0.351135,-1.583771,0.320596,1455415737.168947
57.584763,-52.912216,-188.313049,0.145173,0.179005,-0.580360,0.011917,0.239853,-0.926376,0.317761,1455415737.269004
54.809586,-51.860992,-188.990433,0.020828,-0.146718,-0.390065,0.001038,0.012802,-0.561203,0.320385,1455415737.369009
54.983032,-53.087433,-189.159775,-0.191002,0.163716,-0.194826,0.009750,-0.057541,-0.717621,0.327291,1455415737.469157
53.942352,-49.933716,-188.821091,-0.241451,0.014307,0.266549,0.014114,-0.013382,-1.106888,0.329650,1455415737.569082
