MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
31.567551,-53.262634,-171.717117,0.015624,-0.037734,1.709794,0.048386,0.098831,-0.924805,0.291527,1455415923.962894
29.659622,-52.036194,-171.886459,0.139825,0.185470,1.724236,-0.017548,0.090500,-1.015015,0.290864,1455415924.032796
27.231339,-50.284134,-170.870377,-0.311935,-0.486938,1.856622,0.159851,0.133545,-1.241821,0.290538,1455415924.092801
26.884445,-47.480835,-170.870377,0.448931,-0.026905,2.002033,0.137756,0.244537,-1.178116,0.289263,1455415924.162800
26.190659,-45.728775,-171.209076,-0.125357,-0.502950,1.785218,-0.106308,0.341568,-0.967407,0.288194,1455415924.232761
26.190659,-42.575073,-169.854309,0.701966,0.830769,1.234367,-0.001740,0.085587,-0.732529,0.288275,1455415924.292823
27.751694,-39.596558,-169.684952,-1.170055,-0.586284,1.716525,0.029449,0.123352,-0.904831,0.288209,1455415924.362809
27.925140,-38.019714,-168.838226,-0.319959,0.000579,1.209345,-0.130142,-0.018707,-0.831863,0.285929,1455415924.432799
29.659622,-36.267654,-168.499527,-0.167742,-0.083601,0.899874,-0.019150,-0.117813,-0.954697,0.283315,1455415924.492805
29.833069,-34.690796,-170.701035,0.306560,-0.065885,0.643595,-0.080093,-0.163025,-0.990463,0.282105,1455415924.562802
30.526855,-34.340378,-169.684952,-0.093117,-0.038788,0.173211,-0.078308,0.016281,-1.194809,0.281550,1455415924.632805
30.006516,-30.661057,-169.176926,-1.025514,-0.332241,-0.204028,0.078476,0.136353,-1.436905,0.281734,1455415924.692799
31.394089,-31.011475,-168.838226,1.256434,0.252258,-0.229016,-0.098389,0.430542,-1.118042,0.281011,1455415924.762777
31.914444,-31.186676,-171.717117,0.468219,0.427375,0.165317,0.076813,-0.119247,-0.707291,0.279488,1455415924.833011
33.475479,-31.361877,-172.563843,-1.033394,-0.621688,0.415797,0.025375,0.233597,-1.021622,0.281789,1455415924.892806
31.220642,-30.135437,-171.039734,0.329480,0.377834,-0.039770,-0.064789,0.033890,-0.824371,0.281781,1455415924.963008
32.781677,-29.259415,-172.902542,0.226573,0.080882,0.024323,-0.005371,-0.079315,-0.745224,0.281320,1455415925.032799
33.475479,-28.908997,-172.563843,0.296323,0.125294,0.214768,-0.060486,-0.062469,-0.875305,0.281432,1455415925.092806
34.169266,-29.960236,-174.595993,0.042564,0.396667,0.080525,-0.021896,0.026382,-1.166885,0.281527,1455415925.163047
34.516159,-27.857758,-174.934692,-0.660607,-0.468666,0.053573,0.275391,0.277176,-1.453003,0.282841,1455415925.232800
34.342712,-30.485855,-173.749268,0.317051,-0.463749,0.573239,0.036682,0.428299,-1.191696,0.284280,1455415925.292910
37.291336,-31.712296,-176.289459,0.427792,0.452469,0.907680,0.273651,-0.141876,-0.640808,0.285063,1455415925.362796
39.025818,-31.361877,-176.966843,-1.293696,-0.423117,1.476705,0.035263,0.205032,-0.996521,0.287301,1455415925.432903
39.025818,-29.609818,-177.305542,0.186888,0.069277,0.663268,-0.094070,0.068375,-0.917999,0.286308,1455415925.493086
42.321320,-29.785034,-178.829651,0.313270,0.281799,0.665967,-0.024216,-0.147751,-0.746857,0.285241,1455415925.562931
41.800980,-32.062714,-179.337692,0.017439,-0.048278,0.409547,-0.034821,-0.104248,-0.882263,0.285988,1455415925.632887
42.321320,-31.186676,-179.845734,-0.140582,0.006840,0.154860,-0.047302,-0.074768,-1.123810,0.285979,1455415925.692812
41.454086,-31.712296,-178.999008,-0.149173,-0.286238,-0.108733,-0.122986,0.006042,-1.416840,0.286053,1455415925.762017
41.107193,-32.062714,-179.676392,0.691681,0.270325,-0.063985,-0.309540,0.321671,-1.274231,0.285805,1455415925.822804
40.066498,-35.566833,-180.692459,-0.153993,-0.093029,-0.548126,-0.098801,0.106201,-0.890823,0.286243,1455415925.892711
40.239944,-35.391617,-182.555267,0.109999,-0.092977,-0.711127,0.007874,0.094040,-0.765350,0.289039,1455415925.962800
39.199265,-37.143677,-181.539200,0.329744,0.110814,-0.692530,0.009415,-0.047958,-0.626129,0.291124,1455415926.032800
38.505463,-38.895737,-182.893967,-0.084954,-0.027333,-0.507586,0.058243,-0.055832,-0.734116,0.293148,1455415926.092801
36.250641,-40.823013,-182.047241,-0.274007,-0.499124,-0.166744,0.034576,-0.086792,-1.046738,0.293966,1455415926.162793
33.128571,-39.421356,-183.402008,-0.206804,-0.237493,0.184571,-0.097366,0.007843,-1.115723,0.293535,1455415926.232796
32.781677,-41.173416,-181.369858,-0.493941,0.178137,0.052941,0.028290,0.171524,-1.471344,0.292560,1455415926.292813
31.220642,-39.596558,-182.893967,0.724127,0.044059,0.359563,-0.035233,0.385437,-1.151611,0.291498,1455415926.362810
32.781677,-43.626297,-184.418091,0.827920,0.312430,0.300629,0.258057,-0.018326,-0.729599,0.292593,1455415926.422713
31.740997,-42.224655,-184.079391,-0.480408,-0.098009,1.271846,-0.056564,0.184860,-0.862228,0.297000,1455415926.492808
31.914444,-41.348618,-183.232666,-0.023639,0.108403,0.689851,-0.126083,-0.140778,-0.685471,0.295179,1455415926.562795
30.179962,-41.699036,-185.603500,-0.057012,0.074032,0.598829,-0.083298,-0.169098,-0.786331,0.293041,1455415926.622704
30.873749,-42.049454,-185.942200,0.076995,0.094500,0.238706,-0.194595,-0.127213,-0.827164,0.291429,1455415926.692801
28.792374,-40.647797,-185.264816,-0.925211,-0.392450,-0.278799,-0.128403,-0.048920,-1.177521,0.290161,1455415926.762799
26.884445,-40.823013,-186.450241,-0.501132,-0.173395,-0.400378,-0.180588,0.011047,-1.662659,0.289270,1455415926.822739
26.017212,-40.297394,-187.635666,1.249945,0.479666,-0.460744,-0.334106,0.292419,-1.340775,0.286725,1455415926.892769
25.496857,-43.976715,-186.111542,0.180553,0.310488,-0.546190,-0.130997,0.102188,-0.841141,0.286373,1455415926.962719
25.323410,-45.203156,-187.974350,0.304055,0.008974,-0.725349,-0.034454,0.088043,-0.636826,0.290431,1455415927.022710
25.670303,-47.656036,-190.345200,0.796837,0.255975,-0.908760,-0.048416,0.012634,-0.601913,0.293010,1455415927.092808
26.017212,-49.758514,-188.990433,-0.188894,0.141948,-0.446036,-0.009720,-0.202652,-0.637802,0.295135,1455415927.162778
24.282730,-48.707275,-192.038666,-0.586739,-0.096649,-0.054023,0.023788,-0.137375,-1.056595,0.296312,1455415927.232804
22.721695,-46.780014,-190.853241,-1.051666,-0.226962,0.165513,-0.082169,-0.033661,-1.368423,0.294256,1455415927.302752
21.334106,-45.027954,-189.498474,-1.347465,-0.006864,0.433742,0.122269,0.479218,-1.791855,0.290752,1455415927.362806
23.068588,-46.780014,-191.869324,2.267822,0.725682,-0.158366,0.190186,0.183945,-1.042526,0.286782,1455415927.432809
24.629623,-50.108932,-191.699966,0.434211,-0.150208,0.952028,0.303192,-0.059174,-0.570740,0.287945,1455415927.492817
23.588928,-47.656036,-192.377365,-0.019819,0.124656,0.747447,-0.117371,0.039749,-0.604294,0.293881,1455415927.562796
24.282730,-46.254395,-194.409515,-0.404587,0.347031,0.496519,-0.053635,-0.146149,-0.647751,0.290769,1455415927.622583
24.629623,-44.852737,-195.086899,-0.687465,-0.071260,0.534445,-0.027496,-0.082687,-0.971252,0.288894,1455415927.692812
